Municipio,codigo_dane,Departamento,hurtos_totales_promedio,hurtos_auto_promedio,hurtos_moto_promedio,recuperacion_total,captura_total,proporcion_motos,latitud,longitud,tasa_recuperacion,tasa_captura,categoria_hurtos,categoria_recuperacion,cluster_kmeans_geo1_robusto_limpio_id,cluster_kmeans_geo1_robusto_limpio_label,cluster_kmeans_geo1_robusto_limpio_orden
ABEJORRAL,5002000,ANTIOQUIA,50,14,36,54,8,0.7346938775510204,5.789315,-75.428739,1.08,0.16,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
ABREGO,54003000,NORTE DE SANTANDER,259,43,216,263,12,0.8306451612903226,8.081616,-73.221722,1.0154440154440154,0.0463320463320463,Muy Alto,Buena,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
ABRIAQUI,5004000,ANTIOQUIA,1,0,1,6,0,1.0,6.632281999999999,-76.064304,6.0,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ACACIAS,50006000,META,1231,82,1149,572,56,0.9333649889205444,3.990413,-73.766034,0.4646628757108042,0.0454914703493095,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
ACANDI,27006000,CHOCO,5,0,5,17,1,1.0,8.512178,-77.279951,3.4,0.2,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ACEVEDO,41006000,HUILA,498,25,473,223,29,0.9512791572610986,1.805173,-75.888706,0.4477911646586345,0.0582329317269076,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
ACHI,13006000,BOLIVAR,8,0,8,19,2,1.0,8.570107,-74.557676,2.375,0.25,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
AGRADO,41013000,HUILA,66,1,65,53,9,0.9846153846153848,2.25987,-75.77202200000002,0.803030303030303,0.1363636363636363,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
AGUA DE DIOS,25001000,CUNDINAMARCA,36,9,27,21,4,0.7714285714285715,4.375309,-74.669221,0.5833333333333334,0.1111111111111111,Moderado,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
AGUACHICA,20011000,CESAR,2838,168,2670,970,146,0.936966309579258,8.306811,-73.614027,0.3417899929527836,0.051444679351656,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
AGUADAS,17013000,CALDAS,27,2,25,52,12,0.9423076923076924,5.610244,-75.45487,1.9259259259259256,0.4444444444444444,Moderado,Muy Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
AGUAZUL,85010000,CASANARE,442,24,418,258,43,0.940506329113924,5.172641,-72.546838,0.583710407239819,0.0972850678733031,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
AGUSTIN CODAZZI,20013000,CESAR,702,96,606,293,73,0.8545647558386411,10.040454000000002,-73.238389,0.4173789173789173,0.1039886039886039,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
AIPE,41016000,HUILA,96,16,80,73,1,0.8478260869565217,3.223996,-75.239017,0.7604166666666666,0.0104166666666666,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ALBAN,52019000,CUNDINAMARCA,42,26,16,58,5,0.3846153846153846,1.474978,-77.080712,1.380952380952381,0.119047619047619,Moderado,Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
ALBAN,52019000,NARINO,35,3,32,81,3,0.9333333333333332,1.474978,-77.080712,2.3142857142857145,0.0857142857142857,Moderado,Muy Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
ALBANIA,44035000,CAQUETA,28,0,28,17,0,1.0,11.151628,-72.61232,0.6071428571428571,0.0,Moderado,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
ALBANIA,44035000,GUAJIRA,221,117,104,77,16,0.4741379310344827,11.151628,-72.61232,0.3484162895927601,0.0723981900452488,Muy Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
ALBANIA,44035000,SANTANDER,1,0,1,0,0,1.0,11.151628,-72.61232,0.0,0.0,Leve,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
ALCALA,76020000,VALLE,171,26,145,74,5,0.8414634146341463,4.674994,-75.779792,0.4327485380116959,0.0292397660818713,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
ALDANA,52022000,NARINO,98,32,66,80,18,0.671875,0.8823810000000001,-77.700564,0.8163265306122449,0.1836734693877551,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ALEJANDRIA,5021000,ANTIOQUIA,11,1,10,12,0,0.9090909090909092,6.376061,-75.141346,1.0909090909090908,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ALGARROBO,47030000,MAGDALENA,56,9,47,66,4,0.8365384615384616,10.188059,-74.061132,1.1785714285714286,0.0714285714285714,Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
ALGECIRAS,41020000,HUILA,172,8,164,193,11,0.9523809523809524,2.521674,-75.315389,1.122093023255814,0.063953488372093,Muy Alto,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ALMAGUER,19022000,CAUCA,25,6,19,108,0,0.7916666666666666,1.913429,-76.85607,4.32,0.0,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ALMEIDA,15022000,BOYACA,1,0,1,0,0,1.0,4.970857,-73.378933,0.0,0.0,Leve,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ALPUJARRA,73024000,TOLIMA,5,0,5,6,0,1.0,3.391548,-74.9329,1.2,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ALTAMIRA,41026000,HUILA,91,12,79,106,15,0.8636363636363636,2.063841,-75.788471,1.164835164835165,0.1648351648351648,Alto,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ALTOS DEL ROSARIO,13030000,BOLIVAR,3,0,3,8,0,1.0,8.791865,-74.164905,2.6666666666666665,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
ALVARADO,73026000,TOLIMA,51,17,34,50,13,0.6530612244897959,4.567356,-74.953418,0.9803921568627452,0.2549019607843137,Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
AMAGA,5030000,ANTIOQUIA,210,39,171,199,26,0.8125,6.038708,-75.702188,0.9476190476190476,0.1238095238095238,Muy Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
AMALFI,5031000,ANTIOQUIA,116,12,104,128,11,0.8990825688073395,6.909655000000001,-75.077501,1.103448275862069,0.0948275862068965,Alto,Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
AMBALEMA,73030000,TOLIMA,28,5,23,19,3,0.8214285714285714,4.782682,-74.764429,0.6785714285714286,0.1071428571428571,Moderado,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
ANAPOIMA,25035000,CUNDINAMARCA,42,10,32,38,12,0.7619047619047619,4.562737,-74.528676,0.9047619047619048,0.2857142857142857,Moderado,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
ANCUYA,52036000,NARINO,26,2,24,53,5,0.9230769230769232,1.263276,-77.514512,2.0384615384615383,0.1923076923076923,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ANDALUCIA,76036000,VALLE,148,36,112,71,16,0.7714285714285715,4.171713,-76.167925,0.4797297297297297,0.1081081081081081,Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
ANDES,5034000,ANTIOQUIA,210,13,197,179,23,0.9402985074626866,5.657194,-75.878828,0.8523809523809524,0.1095238095238095,Muy Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
ANGELOPOLIS,5036000,ANTIOQUIA,23,9,14,34,4,0.5909090909090909,6.109719,-75.711389,1.4782608695652173,0.1739130434782608,Moderado,Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
ANGOSTURA,5038000,ANTIOQUIA,40,3,37,36,2,0.9142857142857144,6.885175,-75.335116,0.9,0.05,Moderado,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
